open,high,low,close,real_volume,pivot,r1,s1,r2,s2,r3,s3,ema50,ema200,atr14,engulfing,hammer,hour,day_of_week,signal,target
2038.27,2038.63,2035.0,2035.68,0,2029.52,2039.7899999999995,2021.5199999999995,2047.79,2011.25,2058.0599999999995,1982.71,2024.9451270968757,2025.7863259409348,3.642776389780127,-100,0,11,1,-1,0
2034.99,2037.5,2033.1,2036.24,0,2049.9666666666667,2069.9833333333336,2034.4833333333336,2085.4666666666662,2014.466666666667,2105.483333333333,1958.9500000000005,2045.7939859132464,2035.7440860766037,5.711915359495441,100,0,18,4,1,0
2035.2,2038.72,2034.38,2037.37,0,2049.9666666666667,2069.9833333333336,2034.4833333333336,2085.4666666666662,2014.466666666667,2105.483333333333,1958.9500000000005,2045.0648520483292,2035.7550029137788,5.436702529360857,100,0,20,4,1,0
2035.98,2039.63,2035.98,2039.57,0,2049.9666666666667,2069.9833333333336,2034.4833333333336,2085.4666666666662,2014.466666666667,2105.483333333333,1958.9500000000005,2044.255679630262,2035.81824689913,4.906521668005047,100,0,23,4,1,0
2030.77,2036.03,2029.76,2035.33,0,2036.6366666666663,2042.743333333333,2028.753333333333,2050.6266666666666,2022.6466666666663,2056.733333333333,2002.55,2035.099910738757,2034.662666555039,3.356950103704656,100,0,11,3,1,0
2016.73,2023.33,2016.53,2022.9,0,2026.3033333333333,2033.0366666666664,2017.7766666666664,2041.5633333333333,2011.0433333333333,2048.2966666666666,1989.05,2023.9764414630847,2020.3816158907284,3.439676155082065,80,0,12,4,1,1
2027.23,2030.42,2026.77,2029.62,0,2032.7666666666669,2036.8433333333328,2026.0933333333328,2043.5166666666669,2022.0166666666669,2047.5933333333328,2007.19,2030.2621313484835,2024.8457654894144,2.566743844358669,100,0,14,2,1,1
2153.16,2158.61,2150.43,2157.91,0,2155.8566666666666,2164.543333333333,2148.903333333333,2171.4966666666664,2140.2166666666667,2180.183333333333,2115.8900000000003,2158.1940392067627,2146.236188018638,3.649472429324466,100,0,15,2,1,1
2279.1,2290.53,2279.04,2289.12,0,2291.9833333333336,2304.016666666668,2278.396666666667,2317.603333333334,2266.363333333333,2329.636666666668,2228.709999999999,2282.0693708601943,2234.529728576456,7.313794690381306,100,0,10,4,1,1
2301.92,2311.22,2301.18,2308.95,0,2346.246666666667,2367.703333333334,2304.1733333333336,2409.776666666667,2282.7166666666667,2431.233333333334,2197.73,2360.42189349865,2350.7867871712765,12.507495251566208,100,0,10,1,1,0
2330.73,2331.22,2312.51,2318.92,0,2321.306666666667,2330.9033333333336,2305.3233333333337,2346.8866666666668,2295.726666666667,2356.4833333333336,2260.55,2326.494157653888,2338.636220216146,7.303254878361789,-100,0,16,3,-1,0
2316.58,2317.02,2313.64,2314.27,0,2311.123333333333,2318.886666666666,2300.876666666666,2329.1333333333328,2293.113333333333,2336.8966666666656,2267.3400000000006,2312.4456372369355,2316.3626541998983,4.510999243418436,-100,0,9,3,-1,0
2324.71,2330.52,2322.55,2329.65,0,2328.396666666667,2339.903333333334,2322.143333333334,2346.156666666667,2310.6366666666668,2357.6633333333343,2281.3699999999994,2337.135481644227,2334.056085010103,5.944837194544903,100,0,11,1,1,0
